date,rates_score,rates_regime,us_2s10s,us_5s30s,us_real_10y,us_de_10y_diff,us_jp_10y_diff,it_de_10y_diff
1999-09-30,69.52407326042498,NEUTRAL-TIGHT,0.2809999999999997,0.2970000000000006,4.0703,0.7969999999999997,4.147,0.23500000000000032
1999-10-01,70.91653222468702,TIGHTENING,0.27800000000000047,0.27200000000000024,4.0707,0.7890000000000006,4.28,0.21200000000000063
1999-10-02,71.72368368970254,TIGHTENING,0.27800000000000047,0.27200000000000024,4.0707,0.7890000000000006,4.28,0.21200000000000063
1999-10-04,72.24777991329066,TIGHTENING,0.2599999999999998,0.266,4.0741,0.7510000000000003,4.307,0.21700000000000053
1999-10-05,73.31080328903394,TIGHTENING,0.2610000000000001,0.24099999999999966,4.099200000000001,0.8660000000000005,4.406000000000001,0.2599999999999998
1999-10-06,75.36642327660236,TIGHTENING,0.24099999999999966,0.21799999999999997,4.1319,0.851,4.324999999999999,0.26700000000000035
1999-10-07,76.43426776705554,TIGHTENING,0.24099999999999966,0.22100000000000009,4.1362,0.8399999999999999,4.286,0.26700000000000035
1999-10-08,77.24537781949508,TIGHTENING,0.25200000000000067,0.24800000000000022,4.1327,0.8080000000000007,4.248,0.25
1999-10-11,77.87288851725073,TIGHTENING,0.2549999999999999,0.25,4.1366,0.7989999999999995,4.252,0.2469999999999999
1999-10-12,77.49503866457916,TIGHTENING,0.266,0.2730000000000006,4.1349,0.718,4.227,0.24300000000000033
1999-10-13,77.30424021767973,TIGHTENING,0.266,0.2629999999999999,4.137099999999999,0.7729999999999997,4.327999999999999,0.22299999999999986
1999-10-14,77.16530363522205,TIGHTENING,0.27700000000000014,0.25,4.1554,0.7139999999999995,4.359999999999999,0.2209999999999992
1999-10-15,76.9470753903084,TIGHTENING,0.2679999999999998,0.2909999999999995,4.1474,0.6640000000000006,4.232,0.2550000000000008
1999-10-16,76.78226552696911,TIGHTENING,0.2679999999999998,0.2909999999999995,4.1474,0.6640000000000006,4.232,0.2550000000000008
1999-10-18,76.79891164281088,TIGHTENING,0.2839999999999998,0.2789999999999999,4.1534,0.742,4.355,0.14100000000000001
1999-10-19,76.56367551724261,TIGHTENING,0.2840000000000007,0.2759999999999998,4.1352,0.7890000000000006,4.384,0.23800000000000043
1999-10-20,76.2980353801236,TIGHTENING,0.27800000000000047,0.26400000000000023,4.1274,0.7050000000000001,4.307,0.21699999999999964
1999-10-21,76.43335476719764,TIGHTENING,0.27700000000000014,0.26199999999999957,4.129200000000001,0.7860000000000005,4.28,0.15300000000000047
1999-10-22,76.77017080116187,TIGHTENING,0.27200000000000024,0.2530000000000001,4.1186,0.7939999999999996,4.265,0.2109999999999994
1999-10-23,77.17004004060705,TIGHTENING,0.27200000000000024,0.2530000000000001,4.1186,0.7939999999999996,4.265,0.2109999999999994
