date,asia_ret,europe_ret,us_ret,corr_ae,corr_eu,corr_ua,pred_score
1990-02-14,0.004860476494222517,0.0006322212672665167,0.001965411737553436,,,,
1990-02-15,0.004824912278939317,0.005659276382499933,0.008071223772829041,,,,
1990-02-16,-0.0036379667210011835,0.011083118946070884,-0.00405094507151966,,,,
1990-02-17,0.0009911043725270164,0.0,0.0,,,,
1990-02-19,-0.0053100863794363,-0.011457004561013983,-5.021908074217299e-06,,,,
1990-02-20,0.002756951385133517,-0.014560386867170502,-0.0132182456901242,,,,
1990-02-21,-0.02038020034780197,-0.008985719412857718,-0.0036698439222834396,,,,
1990-02-22,0.0008849288920181504,0.0075333905700143,-0.0009075508970511799,,,,
1990-02-23,-0.009843059508036633,-0.014961799030713102,-0.007222297109373439,,,,
1990-02-24,-0.00330954966934955,0.0,0.0,,,,
1990-02-26,-0.026492761785615517,-0.004135242307760983,0.00887005249533352,,,,
1990-02-27,0.020008882747596084,0.011018342812397669,0.0046115919766058795,,,,
1990-02-28,0.011384759587591166,0.002532309830057867,0.0065986467275131605,,,,
1990-03-01,-0.0062206899258211825,-0.009548764737699217,0.0032961060771255594,,,,
1990-03-02,0.0060899187498048004,0.012290538271273148,0.0090578513994058,,,,
1990-03-03,-0.00249561239425635,0.0,0.0,,,,
1990-03-05,-0.010108900455700948,0.0015888118549360665,-0.0033492760675733605,,,,
1990-03-06,0.002816203008072883,-0.0034424512804663164,0.00749938408851034,,,,
1990-03-07,-0.006575677574076683,0.008438609108566583,-0.00121890553262596,,,,
1990-03-08,-0.0001751734426929163,0.00926347004383015,0.0100213611933152,,,,
1990-03-09,0.003044567719154633,-0.0013277905895959666,-0.0015159936318670602,,,,
1990-03-10,0.006351846218960817,0.0,0.0,,,,
1990-03-12,-0.006299492384646183,-0.005285350415869884,0.00043479521247152006,,,,
1990-03-13,-0.004379572758778284,0.00379992146052245,-0.005433701360077861,,,,
1990-03-14,-0.0064200452086328,0.001953776560999583,0.0038667497431688403,,,,
1990-03-15,0.002791984267010017,0.00662723325506635,0.00385757879667436,,,,
1990-03-16,-0.005361497088840951,0.004482009375462282,0.01277802783076388,,,,
1990-03-17,-0.0013840991895457502,0.0,0.0,0.2838765841896504,0.27820158152612967,0.11432843060670271,
1990-03-18,-0.0012162568569071667,0.0,0.0,0.29876563656833416,0.28330039686346586,0.11215448445343663,
1990-03-19,-0.008459759976630019,-0.00425057917861475,0.0043384839218104,0.30851432211846735,0.27633972078107577,0.11002661740271055,
1990-03-20,0.0009691639240229326,-0.0007654077143489001,-0.00664303004806308,0.3024741782067753,0.2660970880769687,0.11328449872580394,
1990-03-21,-0.0011784633561233856,0.004705778366696683,-0.00332076264945496,0.30117410623026863,0.26061970564259934,0.12039743578439663,
