date,composite_instability,Europe→US_inst_z,Gold vs SPX_inst_z,10Y vs SPX_inst_z,HY vs SPX_inst_z,AUDJPY vs SPX_inst_z,JPY vs SPX_inst_z,Europe→US_roll21,Gold vs SPX_roll21,10Y vs SPX_roll21,HY vs SPX_roll21,AUDJPY vs SPX_roll21,JPY vs SPX_roll21
1990-03-29,,,,,,,,-0.010844993858991589,0.061807670982599705,-0.3808310020001616,,-0.2159513694646154,-0.06927035865206045
1990-03-30,,,,,,,,0.009855764312128023,0.04823184326162011,-0.37933994220375455,,-0.2137368043342052,-0.056643946600070404
1990-03-31,,,,,,,,-0.0615563905360821,0.0341556382526494,-0.35844989500980834,,-0.18787439581342677,0.004278844459169531
1990-04-02,,,,,,,,0.008074248902331514,0.042147099539463946,-0.2963869083819845,,-0.2447330265950429,-0.008828388058921994
1990-04-03,,,,,,,,0.2084354208721692,0.16873908062823192,-0.29189165905266673,,-0.20205100904206563,-0.025420283061255024
1990-04-04,,,,,,,,0.2554456940784323,0.1291479380297914,-0.16815662049284855,,-0.21146692711125334,0.020251556680238692
1990-04-05,,,,,,,,0.3456143853367245,0.14572627750431705,-0.07038609689639794,,-0.15102974483157577,0.028356260278138257
1990-04-06,,,,,,,,0.3663104290226168,0.11836241997214282,-0.04666078939314321,,-0.13374098102695806,0.043206621118185684
1990-04-07,,,,,,,,0.3545953926725514,0.11463307069138713,-0.06486900415094052,,-0.11172555416659719,0.0424783239353484
1990-04-09,,,,,,,,0.2713766051645619,0.06819920074446306,0.16523234861663763,,-0.03601650081478172,0.0736142676978938
1990-04-10,,,,,,,,0.23118411090315408,0.06851145712744204,0.17700745512602412,,-0.014570726002843945,0.08635408056393637
1990-04-11,,,,,,,,0.23175881214705363,0.06825489668511736,0.17779419105637584,,-0.01221188567150409,0.08796979243895524
1990-04-12,,,,,,,,0.262154133402963,0.08022605852959314,0.19056722416287303,,-0.0535580677248494,0.032974411586081144
1990-04-13,,,,,,,,0.2731117332799568,0.02216875404678646,0.1345320499495748,,-0.034779164116222956,0.041146561821072604
1990-04-14,,,,,,,,0.38342724105978016,0.02234886612340362,0.17908887879940139,,-0.07742208334839198,0.046208690127974995
1990-04-16,,,,,,,,0.3170076973651996,0.09318918676699345,0.06588385909609454,,-0.018264125283072506,0.15305005812522118
1990-04-17,,,,,,,,0.3000978696280624,0.11985361069991869,0.052958532066969786,,0.06561668624538224,0.21361739766169416
1990-04-18,,,,,,,,0.3948102263599819,0.07528299177234907,-0.195100353310713,,0.12218152561526409,0.2992386098627386
1990-04-19,,,,,,,,0.40570186609499875,0.21613983029704661,-0.1754932131687718,,0.2548383019645214,0.44361216741407855
1990-04-20,,,,,,,,0.467978112101675,0.15433289328390096,-0.27293278257785214,,0.12517216984325558,0.26437816274801995
1990-04-21,,,,,,,,0.4649374199524748,0.15700602902417568,-0.26330917222533956,,0.10112132505374388,0.24817871980503917
1990-04-23,,,,,,,,0.6323044969365876,0.07865449282252462,-0.255967477383871,,0.22819044756947432,0.2272031223247186
1990-04-24,,,,,,,,0.6620421186048789,0.07967183172663254,-0.25265582524358854,,0.22687926523547625,0.2326046687371273
1990-04-25,,,,,,,,0.6788008795692541,-0.03089204777977474,-0.2432284668106299,,0.21217462092353004,0.22542511374028665
1990-04-26,,,,,,,,0.6630520900179901,-0.03677320253557305,-0.20100387084602583,,0.17237582881895377,0.26102033992279566
1990-04-27,,,,,,,,0.4486249756335315,-0.4843332724101547,-0.02366493030118765,,0.13552820865610282,0.23329102964117912
1990-04-28,,,,,,,,0.4701728204121626,-0.4627823463908082,-0.18028401594658075,,0.1758858099575454,0.20827263468919255
1990-04-30,,,,,,,,0.42832485110141016,-0.49831013481422803,-0.23475400961190288,,0.1851209215147578,0.20716381114252516
1990-05-01,,,,,,,,0.4368704805116983,-0.5225738901032873,-0.2171805115098808,,0.1151503310869328,0.19832052003791756
1990-05-02,,,,,,,,0.5017373355679362,-0.5126916860030513,-0.24189482933100842,,0.17244431592602796,0.1418190515291751
1990-05-03,,,,,,,,0.5663908535953485,-0.44423441143897296,-0.2956709054527139,,0.2072282826862782,0.14328635111782362
1990-05-04,,,,,,,,0.6662983517167015,-0.4336155535682356,-0.4337147304822689,,0.19396259444081765,0.1306048343501638
1990-05-05,,,,,,,,0.6674673166284979,-0.43438722062933777,-0.4354170420799263,,0.19452979504329831,0.131292506618643
1990-05-07,,,,,,,,0.6627746298265539,-0.46843129979469655,-0.4395080732920663,,0.15521354679047336,0.11393562765877899
1990-05-08,,,,,,,,0.5440418015260762,-0.48745279701656447,-0.44756203274057704,,0.1680601352639914,0.10771211577466772
1990-05-09,,,,,,,,0.5396548092142275,-0.45427980801374473,-0.4357898911044161,,0.12659154455892993,0.06293753888918502
1990-05-10,,,,,,,,0.5345042065424518,-0.46160281107055195,-0.45840466555177134,,0.14482441216324643,0.0724524018062687
1990-05-11,,,,,,,,0.29993014639140025,-0.44187620141307604,-0.6547951546407086,,-0.2886537512882518,-0.4326414937852529
1990-05-12,,,,,,,,0.23643872252376744,-0.4281090001852589,-0.6031842771880775,,-0.29433665644687484,-0.4958020857815523
1990-05-14,,,,,,,,0.18385860975363547,-0.4021118574379004,-0.6108365269437976,,-0.3291157981209088,-0.6904589221821996
1990-05-15,,,,,,,,0.22901392519996858,-0.45606439585188485,-0.5703433413566235,,-0.2346796946670051,-0.5991758987344267
1990-05-16,,,,,,,,0.23825991716197997,-0.4247420821900538,-0.5753355163266725,,-0.22973974785141751,-0.5998220478875962
1990-05-17,,,,,,,,0.00407008206434766,-0.3479919233186217,-0.57446098462519,,-0.3791143395335317,-0.6569563471499643
1990-05-18,,,,,,,,-0.016040685535227465,-0.4223467347198132,-0.5826354892989487,,-0.3518995079674355,-0.6455146598771453
1990-05-19,,,,,,,,-0.0258815399205918,-0.4548914259924485,-0.5934569411810683,,-0.3590494199987647,-0.6531854364577562
1990-05-21,,,,,,,,-0.11102982146209874,-0.4792337664390803,-0.6008939062029512,,-0.3390607456744787,-0.583986010653191
1990-05-22,,,,,,,,-0.1402831025072527,-0.3622478158327545,-0.670632674572878,,-0.3809188358205849,-0.5619167994050053
1990-05-23,,,,,,,,-0.15388186047561206,-0.1505474300822761,-0.6502857273813378,,-0.36864348941385294,-0.5577336904488851
1990-05-24,,,,,,,,-0.14188225166739735,-0.18573195309168697,-0.6717392700362089,,-0.36992512752212686,-0.5727406833769978
1990-05-25,,,,,,,,-0.06776798474039003,-0.22407197426811667,-0.7062473894344218,,-0.274282566386244,-0.34117220636550305
1990-05-26,,,,,,,,-0.1241524910931659,-0.22163648923631282,-0.7239348760063372,,-0.3166359706917223,-0.34668702505093035
1990-05-28,,,,,,,,-0.16385934143654032,-0.22661921257401135,-0.7296776625788612,,-0.32218943419196133,-0.350136492977288
1990-05-29,,,,,,,,-0.13737598851429977,-0.2257117149643748,-0.7666859985394234,,-0.1901906234988512,-0.17789598727834707
1990-05-30,,,,,,,,-0.13401069327934717,-0.2028490593153282,-0.7578810731570663,,-0.20189749653019295,-0.18183644213320974
1990-05-31,,,,,,,,-0.2003399937099229,-0.21695112573670813,-0.782694473781013,,-0.20361950328269782,-0.19135369276643097
1990-06-01,,,,,,,,-0.17295877745023114,-0.2268433294116685,-0.7267568279956181,,-0.21700465990609505,-0.20302296584190127
1990-06-02,,,,,,,,-0.17567611987633672,-0.23083997324050973,-0.7405181248944698,,-0.22905357985388639,-0.2120277410109101
1990-06-04,,,,,,,,-0.16023511298303808,-0.22274634706347424,-0.7190867556389169,,-0.2109537466757198,-0.1840775436513686
1990-06-05,,,,,,,,0.00039118235624404897,-0.2603086549429046,-0.5619462356897674,,0.34063967354117536,0.4200833593685435
1990-06-06,,,,,,,,0.11301603152046721,-0.2180399118347164,-0.5493231067164035,,0.3276889290637839,0.4139455789166655
1990-06-07,,,,,,,,0.2137951531503568,-0.18187625137378402,-0.5220497327986708,,0.20785302473630332,0.4115901877461323
1990-06-08,,,,,,,,0.2852683969103438,-0.20699273240639662,-0.5193280764607388,,0.2223999322390574,0.2512957779406534
1990-06-09,,,,,,,,0.28115505424059895,-0.2125939511479615,-0.5202479606378743,,0.21872493412048685,0.2511754880467004
1990-06-11,,,,,,,,0.22051138818650426,-0.18415731830993937,-0.4931682044387463,,0.2393707872026201,0.29152782751633055
1990-06-12,,,,,,,,0.16100658847079186,-0.17438425503513338,-0.44882218744881797,,0.25984431019663434,0.2617145554374421
1990-06-13,,,,,,,,0.1867086334782346,-0.13486700372812024,-0.3620694165601088,,0.24732983142478038,0.24725497454653322
1990-06-14,,,,,,,,0.3653611691882916,-0.06849722707756022,-0.355534953067393,,0.22622748162427342,0.2474776022632528
1990-06-15,,,,,,,,0.3603419814946528,-0.07724026490277375,-0.336954026314892,,0.2583310262952113,0.2935353440107981
1990-06-16,,,,,,,,0.36627622407156,-0.05298452143530492,-0.3336402617478972,,0.2975991315071227,0.30561288942327947
1990-06-18,,,,,,,,0.25747752547905794,-0.05460468180255903,-0.381340497650532,,0.2821656128107826,0.3518121265700944
1990-06-19,,,,,,,,0.24655159541299174,0.028640835817263195,-0.30689280097173366,,0.21505755065563148,0.22109216031928922
1990-06-20,,,,,,,,0.24829837010576897,0.037655109247746545,-0.2939368276518186,,0.2132948268548171,0.2218527167031134
1990-06-21,,,,,,,,0.2616948647500248,0.048878292767873414,-0.29772493778755293,,0.22898359141224334,0.23350066261258004
1990-06-22,,,,,,,,0.12898213113165846,0.035943966019455674,-0.16577864401573317,,0.25810908592126114,0.09128598376102935
